feature_selection_score,random_selection_score,number_of_features,data_set,model_type
0.7848784878487849,0.8401360544217688,56,val,classification
0.8047210300429185,0.8401639344262295,56,test,classification
0.8403211418376451,0.8075601374570446,57,train,classification
0.7891891891891892,0.842820730671198,57,val,classification
0.8245243128964059,0.8360655737704917,57,test,classification
0.8265947888589399,0.8079242032730404,58,train,classification
0.8039568345323741,0.8343245539507222,58,val,classification
0.8195329087048832,0.8396322778345251,58,test,classification
0.828082808280828,0.7971656333038086,59,train,classification
0.7985546522131888,0.8268551236749117,59,val,classification
0.8226495726495726,0.8387776606954689,59,test,classification
0.8269058295964126,0.8058671268334769,60,train,classification
0.7938517179023508,0.8329092451229855,60,val,classification
0.826271186440678,0.8396322778345251,60,test,classification
0.8288288288288289,0.8024800708591673,61,train,classification
0.8007279344858963,0.8281938325991189,61,val,classification
0.8340517241379309,0.8347457627118644,61,test,classification
0.8313796212804327,0.8077601410934745,62,train,classification
0.7970749542961609,0.8328912466843502,62,val,classification
0.8311965811965812,0.8426610348468849,62,test,classification
0.8013816925734024,0.8134135855546,63,train,classification
0.8129803586678053,0.8478632478632478,63,val,classification
0.8207739307535643,0.835209825997953,63,test,classification
0.8355795148247979,0.8123924268502581,64,train,classification
0.8017937219730942,0.8485885372112917,64,val,classification
0.827659574468085,0.835209825997953,64,test,classification
0.8275862068965517,0.8109965635738832,65,train,classification
0.7909502262443439,0.8488471391972674,65,val,classification
0.8144989339019191,0.834355828220859,65,test,classification
0.8403967538322812,0.8130360205831904,66,train,classification
0.8021582733812951,0.8460236886632825,66,val,classification
0.820675105485232,0.8335035750766088,66,test,classification
0.8291366906474821,0.8167808219178082,67,train,classification
0.7849462365591398,0.8462192013593883,67,val,classification
0.8042780748663102,0.8335035750766088,67,test,classification
0.8263579697239537,0.8226221079691517,68,train,classification
0.8075201432408238,0.8477157360406091,68,val,classification
0.8291139240506329,0.8357289527720739,68,test,classification
0.8392370572207084,0.8202054794520548,69,train,classification
0.8039215686274509,0.8462837837837838,69,val,classification
0.8336886993603412,0.8357289527720739,69,test,classification
0.8395285584768812,0.825451418744626,70,train,classification
0.8053571428571429,0.8441449031171019,70,val,classification
0.8267800212539851,0.834871794871795,70,test,classification
0.8414414414414415,0.8232280102476517,71,train,classification
0.8047016274864377,0.8477712363330531,71,val,classification
0.8265524625267666,0.8369230769230769,71,test,classification
0.8394833948339482,0.8227194492254734,72,train,classification
0.7843866171003718,0.842016806722689,72,val,classification
0.8147345612134345,0.8369230769230769,72,test,classification
0.8393021120293848,0.8227194492254734,73,train,classification
0.7783882783882784,0.842016806722689,73,val,classification
0.7952329360780065,0.8369230769230769,73,test,classification
0.8421052631578947,0.8220120378331901,74,train,classification
0.790909090909091,0.8434343434343433,74,val,classification
0.8021621621621622,0.8386433710174717,74,test,classification
0.8381294964028777,0.8220120378331901,75,train,classification
0.7996340347666971,0.8427249789739276,75,val,classification
0.815368196371398,0.8386433710174717,75,test,classification
0.8415398388540734,0.823731728288908,76,train,classification
0.8076572470373746,0.8453781512605043,76,val,classification
0.8202368137782563,0.8345323741007195,76,test,classification
0.84,0.8213058419243986,77,train,classification
0.8032936870997256,0.8441449031171019,77,val,classification
0.8308026030368764,0.8360655737704917,77,test,classification
0.8514851485148514,0.820292347377472,78,train,classification
0.8054298642533936,0.8426395939086295,78,val,classification
0.8270042194092827,0.8365878725590956,78,test,classification
0.848816029143898,0.8251507321274764,79,train,classification
0.8010899182561307,0.8407750631844987,79,val,classification
0.8306709265175719,0.8404907975460122,79,test,classification
0.8524886877828054,0.823731728288908,80,train,classification
0.8154269972451791,0.8400673400673401,80,val,classification
0.8178844056706651,0.8414634146341463,80,test,classification
0.84375,0.823731728288908,81,train,classification
0.8073394495412844,0.8390901432181971,81,val,classification
0.8114663726571114,0.8414634146341463,81,test,classification
0.8483197093551317,0.823731728288908,82,train,classification
0.813126709206928,0.8388185654008439,82,val,classification
0.8190682556879738,0.8406091370558376,82,test,classification
0.8420091324200915,0.8232280102476517,83,train,classification
0.8107109879963066,0.8403361344537814,83,val,classification
0.8287895310796075,0.8345177664974619,83,test,classification
0.8453237410071943,0.8331814038286235,84,train,classification
0.8117539026629935,0.828082808280828,84,val,classification
0.8281081081081082,0.8315098468271336,84,test,classification
0.8602941176470588,0.8240343347639485,85,train,classification
0.8052190121155638,0.8400673400673401,85,val,classification
0.8096280087527353,0.8358817533129459,85,test,classification
0.849721706864564,0.8143607705779335,86,train,classification
0.7852412488174078,0.8341968911917098,86,val,classification
0.8125,0.8408851422550052,86,test,classification
0.843351548269581,0.8133216476774758,87,train,classification
0.8018348623853211,0.8373702422145329,87,val,classification
0.8125,0.8370136698212408,87,test,classification
0.8545618789521228,0.8226221079691517,88,train,classification
0.8239564428312159,0.8395270270270271,88,val,classification
0.8240343347639485,0.8335035750766088,88,test,classification
0.8529680365296803,0.8226221079691517,89,train,classification
0.822992700729927,0.8405063291139241,89,val,classification
0.8230184581976113,0.8318042813455657,89,test,classification
0.8485401459854015,0.8143607705779335,90,train,classification
0.8146118721461187,0.8352027610008628,90,val,classification
0.8281081081081082,0.8370136698212408,90,test,classification
0.8445262189512419,0.8154657293497365,91,train,classification
0.8104575163398693,0.8337639965546942,91,val,classification
0.8173913043478261,0.8312236286919831,91,test,classification
0.8592188919164395,0.8154657293497365,92,train,classification
0.8304623753399819,0.8337639965546942,92,val,classification
0.8192513368983957,0.8308668076109937,92,test,classification
0.8560885608856089,0.8234280792420328,93,train,classification
0.813780260707635,0.8385460693153001,93,val,classification
0.8186753528773072,0.8321318228630278,93,test,classification
0.8401084010840107,0.8234280792420328,94,train,classification
0.8191000918273644,0.8378378378378378,94,val,classification
0.8235294117647058,0.8333333333333334,94,test,classification
0.8529411764705882,0.8224137931034482,95,train,classification
0.8176795580110496,0.8390901432181971,95,val,classification
0.8117519042437432,0.8340163934426229,95,test,classification
0.8566243194192378,0.8227194492254734,96,train,classification
0.8099630996309963,0.8392554991539763,96,val,classification
0.8191721132897604,0.8336755646817249,96,test,classification
0.8491620111731844,0.825451418744626,97,train,classification
0.8051948051948051,0.8414839797639122,97,val,classification
0.8077753779697624,0.8324768756423432,97,test,classification
0.8537693006357856,0.8247422680412372,98,train,classification
0.8029330889092575,0.8390901432181971,98,val,classification
0.8301075268817205,0.8336755646817249,98,test,classification
0.842391304347826,0.8257510729613734,99,train,classification
0.8103756708407872,0.8405063291139241,99,val,classification
0.8090128755364807,0.8324768756423432,99,test,classification
0.8600182982616651,0.8340498710232158,100,train,classification
0.806159420289855,0.8489451476793248,100,val,classification
0.8232804232804232,0.8455958549222797,100,test,classification
0.8514129443938012,0.8455882352941176,101,train,classification
0.8058877644894205,0.8346883468834688,101,val,classification
0.820403825717322,0.8338907469342253,101,test,classification
0.855072463768116,0.8293103448275861,102,train,classification
0.8191000918273644,0.841927303465765,102,val,classification
0.8434504792332268,0.8438469493278179,102,test,classification
0.8547945205479452,0.8364888123924268,103,train,classification
0.8136531365313653,0.8491525423728814,103,val,classification
0.8179871520342613,0.844074844074844,103,test,classification
0.8521897810218978,0.8269742679680568,104,train,classification
0.8207461328480438,0.8486439195100612,104,val,classification
0.8202959830866807,0.8492569002123141,104,test,classification
0.858188472095151,0.8645640074211502,105,train,classification
0.8058076225045372,0.8318098720292505,105,val,classification
0.8344086021505377,0.8372615039281707,105,test,classification
0.8634280476626948,0.827708703374778,106,train,classification
0.8365650969529085,0.8479020979020979,106,val,classification
0.8228941684665227,0.848356309650053,106,test,classification
0.8550592525068368,0.8362068965517241,107,train,classification
0.8074418604651162,0.844331641285956,107,val,classification
0.8336980306345734,0.8511966701352758,107,test,classification
0.8526119402985075,0.8362068965517241,108,train,classification
0.8243858052775249,0.844331641285956,108,val,classification
0.8213903743315508,0.8511966701352758,108,test,classification
0.8537258509659613,0.8350515463917524,109,train,classification
0.8158379373848987,0.8469991546914624,109,val,classification
0.8322580645161289,0.8511966701352758,109,test,classification
0.8568790397045245,0.8305235137533273,110,train,classification
0.8165898617511521,0.8479020979020979,110,val,classification
0.8376623376623378,0.8477103301384452,110,test,classification
0.859744990892532,0.8357695614789339,111,train,classification
0.818348623853211,0.8486897717666949,111,val,classification
0.8290598290598291,0.8511966701352758,111,test,classification
0.8568807339449541,0.8373287671232877,112,train,classification
0.805834092980857,0.8472573839662447,112,val,classification
0.8405172413793104,0.8520833333333333,112,test,classification
0.8495412844036697,0.8347676419965577,113,train,classification
0.8255707762557078,0.8484335309060118,113,val,classification
0.8426724137931034,0.8503118503118503,113,test,classification
0.8505535055350553,0.8343347639484977,114,train,classification
0.8148837209302326,0.8477157360406091,114,val,classification
0.8060021436227225,0.8494288681204569,114,test,classification
0.8539741219963032,0.8343347639484977,115,train,classification
0.8115134633240483,0.847457627118644,115,val,classification
