score,number_of_features,data_set,model_type
0.8184281842818428,86,val,classification
0.8193548387096774,86,test,classification
0.8679245283018868,87,train,classification
0.8198198198198197,87,val,classification
0.8198489751887811,87,test,classification
0.8689407540394973,88,train,classification
0.8195829555757026,88,val,classification
0.8168103448275862,88,test,classification
0.8689407540394973,89,train,classification
0.8184281842818428,89,val,classification
0.8168103448275862,89,test,classification
0.8679245283018868,90,train,classification
0.8199095022624434,90,val,classification
0.8155339805825242,90,test,classification
0.8707360861759426,91,train,classification
0.8138056312443233,91,val,classification
0.8236559139784946,91,test,classification
0.874326750448833,92,train,classification
0.8141432456935629,92,val,classification
0.8240343347639485,92,test,classification
0.8733153638814016,93,train,classification
0.815956482320943,93,val,classification
0.8227712137486575,93,test,classification
0.8723021582733813,94,train,classification
0.815956482320943,94,val,classification
0.8227712137486575,94,test,classification
0.8758992805755395,95,train,classification
0.8224637681159421,95,val,classification
0.8303094983991464,95,test,classification
0.8758992805755395,96,train,classification
0.8256549232158987,96,val,classification
0.8315565031982942,96,test,classification
0.8765652951699463,97,train,classification
0.8245931283905968,97,val,classification
0.8247863247863249,97,test,classification
0.8776978417266186,98,train,classification
0.8213961922030826,98,val,classification
0.8285410010649628,98,test,classification
0.8797127468581687,99,train,classification
0.8206521739130433,99,val,classification
0.8297872340425533,99,test,classification
0.8770343580470163,100,train,classification
0.8194945848375451,100,val,classification
0.8340425531914893,100,test,classification
0.8780487804878049,101,train,classification
0.8194945848375451,101,val,classification
0.8352816153028694,101,test,classification
0.8756756756756756,102,train,classification
0.818018018018018,102,val,classification
0.8352816153028694,102,test,classification
0.8756756756756756,103,train,classification
0.819081908190819,103,val,classification
0.8322717622080679,103,test,classification
0.8751123090745733,104,train,classification
0.815884476534296,104,val,classification
0.8294243070362473,104,test,classification
0.8751123090745733,105,train,classification
0.8148148148148148,105,val,classification
0.8306709265175719,105,test,classification
0.883468834688347,106,train,classification
0.8236363636363637,106,val,classification
0.8398727465535526,106,test,classification
0.883468834688347,107,train,classification
0.8236363636363637,107,val,classification
0.8407643312101911,107,test,classification
0.8872858431018936,108,train,classification
0.8194317140238313,108,val,classification
0.8416578108395325,108,test,classification
0.8872858431018936,109,train,classification
0.8191000918273644,109,val,classification
0.8416578108395325,109,test,classification
0.888888888888889,110,train,classification
0.8205128205128206,110,val,classification
0.8398727465535526,110,test,classification
0.8860759493670887,111,train,classification
0.8247048138056312,111,val,classification
0.8428874734607219,111,test,classification
0.8828337874659401,112,train,classification
0.8262056414922657,112,val,classification
0.8432203389830509,112,test,classification
0.8789808917197451,113,train,classification
0.8250226654578423,113,val,classification
0.8426610348468849,113,test,classification
0.8802177858439202,114,train,classification
0.8250226654578423,114,val,classification
0.8408851422550052,114,test,classification
0.8812330009066183,115,train,classification
0.8250226654578423,115,val,classification
0.8408851422550052,115,test,classification
0.8832579185520362,116,train,classification
0.8247048138056312,116,val,classification
0.8387776606954689,116,test,classification
0.8846503178928247,117,train,classification
0.822141560798548,117,val,classification
0.8411016949152543,117,test,classification
0.8846503178928247,118,train,classification
0.817932296431839,118,val,classification
0.8417721518987342,118,test,classification
0.882032667876588,119,train,classification
0.8142726440988106,119,val,classification
0.8417721518987342,119,test,classification
0.8846503178928247,120,train,classification
0.8182648401826483,120,val,classification
0.8352816153028694,120,test,classification
0.8854545454545454,121,train,classification
0.8164383561643835,121,val,classification
0.8352816153028694,121,test,classification
0.8844404003639672,122,train,classification
0.8153564899451554,122,val,classification
0.8352816153028694,122,test,classification
0.8834244080145719,123,train,classification
0.8161024702653248,123,val,classification
0.8326271186440678,123,test,classification
0.8844404003639672,124,train,classification
0.8153564899451554,124,val,classification
0.8326271186440678,124,test,classification
0.8844404003639672,125,train,classification
0.8146118721461187,125,val,classification
0.8335100742311771,125,test,classification
0.8844404003639672,126,train,classification
0.817932296431839,126,val,classification
0.8308668076109937,126,test,classification
